Pulse Ox data file Pulse000.csv code file /Users/g-gollin/SuperWoodchuckie2/_medicine/pulse_oximeter_2024_code/run_pulse_oximeter_2024_v5/run_pulse_oximeter_2024_v5.ino
Code date/time of last compilation was Feb 15 2024 22:07:59  DS3231 RTC date and time are 2024/2/16 (Friday)   4:08:18. temperature: 23.00*C or 73.40*F
N,t (ms),NIR I,white I,pulse ox light I,white light I,pulse ox 415,pulse ox 445,pulse ox 480,pulse ox 515,pulse ox clear0,pulse ox NIR0,pulse ox 555,pulse ox 590,pulse ox 630,pulse ox 680,pulse ox clear,pulse ox NIR,skin color 415,skin color 445,skin color 480,skin color 515,skin color clear0,skin color NIR0,skin color 555,skin color 590,skin color 630,skin color 680,skin color clear,skin color NIR,magic date
106,4651,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,174,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
107,4692,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,175,373,0,0,0,0,0,0,2,5,35,64,60,3,9188
108,4729,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,78,112,183,378,0,0,0,0,0,0,2,5,35,64,60,3,9188
109,4766,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,108,180,383,0,0,0,0,0,0,2,5,35,64,60,3,9188
110,4804,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,80,115,188,390,0,0,0,0,0,0,2,5,35,64,60,3,9188
111,4841,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,111,185,394,0,0,0,0,0,0,2,5,35,64,60,3,9188
112,4878,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,83,119,196,402,0,0,0,0,0,0,2,5,35,64,60,3,9188
113,4920,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,82,118,194,397,0,0,0,0,0,0,2,5,35,64,60,3,9188
114,4957,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,108,178,377,0,0,0,0,0,0,2,5,35,64,60,3,9188
115,4994,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,112,181,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
116,5032,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,175,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
117,5069,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,78,114,183,366,0,0,0,0,0,0,2,5,35,64,60,3,9188
118,5106,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,75,110,181,378,0,0,0,0,0,0,2,5,35,64,60,3,9188
119,5148,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,78,113,186,386,0,0,0,0,0,0,2,5,35,64,60,3,9188
120,5185,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,81,117,192,395,0,0,0,0,0,0,2,5,35,64,60,3,9188
121,5222,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,80,115,191,397,0,0,0,0,0,0,2,5,35,64,60,3,9188
122,5260,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,81,117,194,403,0,0,0,0,0,0,2,5,35,64,60,3,9188
123,5297,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,82,119,196,407,0,0,0,0,0,0,2,5,35,64,60,3,9188
124,5338,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,84,120,199,413,0,0,0,0,0,0,2,5,35,64,60,3,9188
125,5376,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,84,120,199,417,0,0,0,0,0,0,2,5,35,64,60,3,9188
126,5568,9.749,-0.430,0,0,0,0,0,0,0,0,7,22,93,130,214,432,0,0,0,0,0,0,2,5,35,64,60,3,9188
127,5606,9.749,-0.430,0,0,0,0,0,0,0,0,7,22,94,132,215,436,0,0,0,0,0,0,2,5,35,64,60,3,9188
128,5643,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,92,129,213,431,0,0,0,0,0,0,2,5,35,64,60,3,9188
129,5680,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,89,127,205,408,0,0,0,0,0,0,2,5,35,64,60,3,9188
130,5722,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,86,124,199,392,0,0,0,0,0,0,2,5,35,64,60,3,9188
131,5759,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,83,120,194,389,0,0,0,0,0,0,2,5,35,64,60,3,9188
132,5796,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,87,126,201,393,0,0,0,0,0,0,2,5,35,64,60,3,9188
133,5834,9.749,-0.430,0,0,0,0,0,0,0,0,8,19,83,119,196,398,0,0,0,0,0,0,2,5,35,64,60,3,9188
134,5871,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,85,122,200,404,0,0,0,0,0,0,2,5,35,64,60,3,9188
135,5912,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,78,113,189,403,0,0,0,0,0,0,2,5,35,64,60,3,9188
136,5950,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,78,112,189,404,0,0,0,0,0,0,2,5,35,64,60,3,9188
